                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.81639,                0.79475,                 1.2803,                0.93538,                0.92447,                0.96035,                0.83149,                 0.5653,                0.40339,                 1.0461,               0.004159,               0.004159,               0.004159
                     61,                0.81147,                0.77554,                 1.2759,                0.91863,                0.93236,                0.96058,                0.83047,                0.56654,                0.40377,                 1.0436,                0.00406,                0.00406,                0.00406
                     62,                0.80516,                0.78078,                 1.2718,                0.92304,                0.92905,                0.95973,                 0.8328,                0.56078,                0.39943,                 1.0401,               0.003961,               0.003961,               0.003961
                     63,                0.80096,                0.77403,                 1.2713,                0.93837,                0.91523,                0.96141,                0.83614,                0.55995,                0.39596,                 1.0394,               0.003862,               0.003862,               0.003862
                     64,                0.79931,                0.76967,                 1.2661,                0.92144,                0.92686,                0.96031,                0.83521,                0.55849,                0.39599,                 1.0374,               0.003763,               0.003763,               0.003763
                     65,                 0.8043,                0.77554,                 1.2686,                0.92302,                0.93001,                0.95884,                0.83652,                0.55603,                0.39593,                 1.0353,               0.003664,               0.003664,               0.003664
                     66,                0.79815,                0.76594,                 1.2654,                0.93097,                0.92148,                0.95999,                 0.8331,                0.55473,                0.39539,                 1.0334,               0.003565,               0.003565,               0.003565
                     67,                0.79813,                0.76327,                 1.2609,                0.92416,                0.92904,                0.95923,                0.83383,                 0.5525,                0.39156,                 1.0303,               0.003466,               0.003466,               0.003466
                     68,                0.79081,                0.75888,                 1.2586,                 0.9308,                0.92501,                0.96204,                0.83864,                0.55106,                0.38534,                 1.0297,               0.003367,               0.003367,               0.003367
                     69,                0.78574,                0.74862,                 1.2541,                0.92616,                0.92981,                0.96317,                0.83926,                0.55157,                0.38499,                 1.0297,               0.003268,               0.003268,               0.003268
                     70,                0.78399,                0.74713,                 1.2495,                0.93367,                0.92563,                0.96289,                0.84018,                 0.5507,                  0.383,                 1.0302,               0.003169,               0.003169,               0.003169
                     71,                 0.7784,                0.73527,                 1.2464,                 0.9304,                0.93008,                0.96284,                 0.8383,                0.54969,                0.38298,                 1.0281,                0.00307,                0.00307,                0.00307
                     72,                0.78521,                0.74084,                 1.2474,                0.93226,                0.92919,                 0.9616,                0.83754,                0.55163,                0.38258,                 1.0281,               0.002971,               0.002971,               0.002971
